id,type,state,name,created_at,updated_at,customer_id,list_price,sale_price,discount_price,tax_free_price
853323,ORDER,COMPLETED,나의 칼퇴치트키 엑,2022-01-31 23:52,2022-01-31 23:54,791388,156000,136000,20000,136000
853322,ORDER,COMPLETED,나의 칼퇴치트키 엑,2022-01-31 23:51,2022-01-31 23:51,560400,156000,156000,0,156000
853319,ORDER,PENDING,완전정복! 시각디자,2022-01-31 23:40,2022-01-31 23:40,455290,250000,250000,0,250000
853317,ORDER,COMPLETED,클라우드를 활용한 ,2022-01-31 23:39,2022-01-31 23:39,279538,447000,447000,0,447000
853314,ORDER,COMPLETED,한 번에 끝내는 디,2022-01-31 23:30,2022-01-31 23:31,790438,261000,261000,0,261000
853313,ORDER,PENDING,올인원 패키지 : ,2022-01-31 23:25,2022-01-31 23:25,786811,212000,212000,0,212000
853311,ORDER,COMPLETED,직장인이 진짜 필요,2022-01-31 23:21,2022-01-31 23:22,24156,169000,149000,20000,149000
853310,ORDER,COMPLETED,직장인이 진짜 필요,2022-01-31 23:21,2022-01-31 23:21,27378,169000,149000,20000,149000
853309,ORDER,PENDING,직장인이 진짜 필요,2022-01-31 23:18,2022-01-31 23:18,24156,169000,149000,20000,149000
853308,ORDER,PENDING,직장인이 진짜 필요,2022-01-31 23:18,2022-01-31 23:18,24156,169000,149000,20000,149000
853305,ORDER,CANCELLED,직장인이 진짜 필요,2022-01-31 23:15,2022-01-31 23:16,27378,169000,149000,20000,149000
853304,ORDER,COMPLETED,"김기현의 BERT,",2022-01-31 23:15,2022-01-31 23:16,33169,252000,252000,0,252000
853302,ORDER,COMPLETED,올인원 패키지 : ,2022-01-31 23:14,2022-01-31 23:15,791379,212000,212000,0,212000
853300,ORDER,CANCELLED,"김기현의 BERT,",2022-01-31 23:09,2022-01-31 23:10,33169,252000,252000,0,252000
853299,ORDER,COMPLETED,유니티캠퍼스 온라인,2022-01-31 23:06,2022-01-31 23:07,734507,175000,175000,0,175000
853298,ORDER,CANCELLED,유니티캠퍼스 온라인,2022-01-31 23:06,2022-01-31 23:06,734507,175000,175000,0,175000
853296,ORDER,PENDING,한 번에 끝내는 프,2022-01-31 22:50,2022-01-31 22:50,2731,222000,222000,0,222000
853295,ORDER,COMPLETED,일잘러 필수 스킬 ,2022-01-31 22:48,2022-01-31 22:52,791375,157000,157000,0,157000
853290,ORDER,COMPLETED,알고리즘 / 기술면,2022-01-31 22:25,2022-01-31 22:26,784419,201000,181000,20000,181000
853289,ORDER,CANCELLED,알고리즘 / 기술면,2022-01-31 22:25,2022-01-31 22:25,784419,201000,181000,20000,181000
853288,ORDER,COMPLETED,"퍼포먼스 마케팅, ",2022-01-31 22:22,2022-01-31 22:23,15446,202000,182000,20000,182000
853284,ORDER,PENDING,완전정복! 시각디자,2022-01-31 21:57,2022-01-31 21:57,455290,250000,250000,0,250000
853282,ORDER,COMPLETED,이필성의 포토클래스,2022-01-31 21:47,2022-01-31 21:47,178451,159000,159000,0,159000
853281,ORDER,COMPLETED,한번에 끝내는 재무,2022-01-31 21:38,2022-01-31 21:38,714385,317000,317000,0,317000
853278,ORDER,COMPLETED,초격차 패키지 : ,2022-01-31 21:31,2022-01-31 21:34,485759,213000,213000,0,213000
853277,ORDER,CANCELLED,초격차 패키지 : ,2022-01-31 21:23,2022-01-31 21:31,485759,213000,213000,0,213000
853271,ORDER,COMPLETED,누적 조회수 12억,2022-01-31 21:07,2022-01-31 21:08,791358,162000,162000,0,162000
853270,ORDER,CANCELLED,누적 조회수 12억,2022-01-31 21:05,2022-01-31 21:06,791358,162000,162000,0,162000
853266,ORDER,COMPLETED,"퍼포먼스 마케팅, ",2022-01-31 20:36,2022-01-31 20:37,791359,202000,202000,0,202000
853262,ORDER,COMPLETED,한 번에 끝내는 머,2022-01-31 20:23,2022-01-31 20:23,791356,242000,222000,20000,222000
853260,ORDER,CANCELLED,한 번에 끝내는 머,2022-01-31 20:18,2022-01-31 20:22,791356,242000,222000,20000,222000
853258,ORDER,CANCELLED,한 번에 끝내는 머,2022-01-31 20:17,2022-01-31 20:18,791356,242000,222000,20000,222000
853256,ORDER,PENDING,한번에 끝내는 모션,2022-01-31 20:13,2022-01-31 20:13,791355,182000,182000,0,182000
853253,ORDER,COMPLETED,The RED : ,2022-01-31 20:03,2022-01-31 20:05,169152,312000,312000,0,312000
853250,ORDER,CANCELLED,한 번에 끝내는 프,2022-01-31 19:47,2022-01-31 19:48,791349,222000,222000,0,222000
853249,ORDER,PENDING,김동원의 저예산 마,2022-01-31 19:41,2022-01-31 19:41,791348,154000,154000,0,154000
853247,ORDER,COMPLETED,게임 개발자 취업의,2022-01-31 19:38,2022-01-31 19:39,788984,287000,267000,20000,267000
853244,ORDER,COMPLETED,올인원 패키지 : ,2022-01-31 19:18,2022-01-31 19:19,749133,402000,402000,0,402000
853238,ORDER,COMPLETED,논리적인 디자인을 ,2022-01-31 18:36,2022-01-31 18:43,791337,265000,245000,20000,245000
853235,ORDER,COMPLETED,아이패드로 그리는 ,2022-01-31 18:30,2022-01-31 18:30,791331,172000,172000,0,172000
